dataset,model,miss_cost,fp_cost,missed,false_alarms,total_cost
xjtu,lite_no_mc,500,2.0,0,0,2.0
xjtu,matched_tcn,500,5.0,0,0,0.0
xjtu,full_mc,500,5.0,0,0,2.0
xjtu,lite_mc,500,5.0,0,0,2.0
xjtu,lite_no_attn_mc,500,5.0,0,0,0.0
xjtu,lite_no_mc,500,5.0,0,0,2.0
xjtu,matched_tcn,1000,0.5,0,0,0.0
xjtu,full_mc,1000,0.5,0,0,2.0
xjtu,lite_mc,1000,0.5,0,0,2.0
xjtu,lite_no_attn_mc,1000,0.5,0,0,0.0
xjtu,lite_no_mc,1000,0.5,0,0,2.0
xjtu,matched_tcn,1000,1.0,0,0,0.0
xjtu,full_mc,1000,1.0,0,0,2.0
xjtu,lite_mc,1000,1.0,0,0,2.0
xjtu,lite_no_attn_mc,1000,1.0,0,0,0.0
xjtu,lite_no_mc,1000,1.0,0,0,2.0
xjtu,matched_tcn,1000,2.0,0,0,0.0
xjtu,full_mc,1000,2.0,0,0,2.0
xjtu,lite_mc,1000,2.0,0,0,2.0
xjtu,lite_no_attn_mc,1000,2.0,0,0,0.0
xjtu,lite_no_mc,1000,2.0,0,0,2.0
xjtu,matched_tcn,1000,5.0,0,0,0.0
xjtu,full_mc,1000,5.0,0,0,2.0
xjtu,lite_mc,1000,5.0,0,0,2.0
xjtu,lite_no_attn_mc,1000,5.0,0,0,0.0
xjtu,lite_no_mc,1000,5.0,0,0,2.0
ur3,matched_tcn,10,0.5,0,6,3.0
ur3,full_mc,10,0.5,0,9,21.5
ur3,lite_mc,10,0.5,0,11,23.5
ur3,lite_no_attn_mc,10,0.5,0,6,3.0
ur3,lite_no_mc,10,0.5,0,9,21.5
ur3,matched_tcn,10,1.0,0,6,6.0
ur3,full_mc,10,1.0,0,9,26.0
ur3,lite_mc,10,1.0,0,11,29.0
ur3,lite_no_attn_mc,10,1.0,0,6,6.0
ur3,lite_no_mc,10,1.0,0,9,26.0
ur3,matched_tcn,10,2.0,0,6,12.0
ur3,full_mc,10,2.0,0,9,35.0
ur3,lite_mc,10,2.0,0,11,40.0
ur3,lite_no_attn_mc,10,2.0,0,6,12.0
ur3,lite_no_mc,10,2.0,0,9,35.0
ur3,matched_tcn,10,5.0,0,6,30.0
ur3,full_mc,10,5.0,0,9,62.0
ur3,lite_mc,10,5.0,0,11,73.0
ur3,lite_no_attn_mc,10,5.0,0,6,30.0
ur3,lite_no_mc,10,5.0,0,9,62.0
ur3,matched_tcn,50,0.5,0,6,3.0
ur3,full_mc,50,0.5,0,9,21.5
ur3,lite_mc,50,0.5,0,11,23.5
ur3,lite_no_attn_mc,50,0.5,0,6,3.0
ur3,lite_no_mc,50,0.5,0,9,21.5
ur3,matched_tcn,50,1.0,0,6,6.0
ur3,full_mc,50,1.0,0,9,26.0
ur3,lite_mc,50,1.0,0,11,29.0
ur3,lite_no_attn_mc,50,1.0,0,6,6.0
ur3,lite_no_mc,50,1.0,0,9,26.0
ur3,matched_tcn,50,2.0,0,6,12.0
ur3,full_mc,50,2.0,0,9,35.0
ur3,lite_mc,50,2.0,0,11,40.0
ur3,lite_no_attn_mc,50,2.0,0,6,12.0
ur3,lite_no_mc,50,2.0,0,9,35.0
ur3,matched_tcn,50,5.0,0,6,30.0
ur3,full_mc,50,5.0,0,9,62.0
ur3,lite_mc,50,5.0,0,11,73.0
ur3,lite_no_attn_mc,50,5.0,0,6,30.0
ur3,lite_no_mc,50,5.0,0,9,62.0
ur3,matched_tcn,100,0.5,0,6,3.0
ur3,full_mc,100,0.5,0,9,21.5
ur3,lite_mc,100,0.5,0,11,23.5
ur3,lite_no_attn_mc,100,0.5,0,6,3.0
ur3,lite_no_mc,100,0.5,0,9,21.5
ur3,matched_tcn,100,1.0,0,6,6.0
ur3,full_mc,100,1.0,0,9,26.0
ur3,lite_mc,100,1.0,0,11,29.0
ur3,lite_no_attn_mc,100,1.0,0,6,6.0
ur3,lite_no_mc,100,1.0,0,9,26.0
ur3,matched_tcn,100,2.0,0,6,12.0
ur3,full_mc,100,2.0,0,9,35.0
ur3,lite_mc,100,2.0,0,11,40.0
ur3,lite_no_attn_mc,100,2.0,0,6,12.0
ur3,lite_no_mc,100,2.0,0,9,35.0
ur3,matched_tcn,100,5.0,0,6,30.0
ur3,full_mc,100,5.0,0,9,62.0
ur3,lite_mc,100,5.0,0,11,73.0
ur3,lite_no_attn_mc,100,5.0,0,6,30.0
ur3,lite_no_mc,100,5.0,0,9,62.0
ur3,matched_tcn,500,0.5,0,6,3.0
ur3,full_mc,500,0.5,0,9,21.5
ur3,lite_mc,500,0.5,0,11,23.5
ur3,lite_no_attn_mc,500,0.5,0,6,3.0
ur3,lite_no_mc,500,0.5,0,9,21.5
ur3,matched_tcn,500,1.0,0,6,6.0
ur3,full_mc,500,1.0,0,9,26.0
